newid,Isolate_Id,Isolate_Name,Collection_Date,Subtype,Genotype,Location,continent,host,host_type,Wild bird order
EPI_ISL_19260108|A/Ring-billed_Gull/NL/FAV-0430-9/2023|H5N5|North America|2023-10-23|wild_avian|A6 ,EPI_ISL_19260108,A/Ring-billed_Gull/NL/FAV-0430-9/2023,2023.10.23,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Ring-billed_Gull,wild_avian,Charadriiformes
EPI_ISL_19260106|A/Herring_Gull/NL/FAV-0430-14/2023|H5N5|North America|2023-11-02|wild_avian|A6 ,EPI_ISL_19260106,A/Herring_Gull/NL/FAV-0430-14/2023,2023.11.02,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19260105|A/Herring_Gull/NL/FAV-0430-13/2023|H5N5|North America|2023-11-06|wild_avian|A6 ,EPI_ISL_19260105,A/Herring_Gull/NL/FAV-0430-13/2023,2023.11.06,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19260103|A/Great_Black-Backed_Gull/NL/FAV-0430-11/2023|H5N5|North America|2023-11-10|wild_avian|A6 ,EPI_ISL_19260103,A/Great_Black-Backed_Gull/NL/FAV-0430-11/2023,2023.11.10,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750598|A/Great_Black-Backed_Gull/NL/OTH-0105-6/2024|H5N5|North America|2024-10-04|wild_avian|A6 ,EPI_ISL_19750598,A/Great_Black-Backed_Gull/NL/OTH-0105-6/2024,2024.10.04,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750600|A/Herring_Gull/NL/OTH-0111-3/2024|H5N5|North America|2024-11-02|wild_avian|A6 ,EPI_ISL_19750600,A/Herring_Gull/NL/OTH-0111-3/2024,2024.11.02,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750599|A/Herring_Gull/NL/OTH-0111-2/2024|H5N5|North America|2024-11-03|wild_avian|A6 ,EPI_ISL_19750599,A/Herring_Gull/NL/OTH-0111-2/2024,2024.11.03,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750602|A/Black-Legged_Kittiwake/NL/OTH-0111-5/2024|H5N5|North America|2024-11-15|wild_avian|A6 ,EPI_ISL_19750602,A/Black-Legged_Kittiwake/NL/OTH-0111-5/2024,2024.11.15,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Black-Legged_Kittiwake,wild_avian,Charadriiformes
EPI_ISL_19750601|A/Herring_Gull/NL/OTH-0111-4/2024|H5N5|North America|2024-11-15|wild_avian|A6 ,EPI_ISL_19750601,A/Herring_Gull/NL/OTH-0111-4/2024,2024.11.15,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750604|A/Great_Black-Backed_Gull/NL/OTH-0115-35/2024|H5N5|North America|2024-11-27|wild_avian|A6 ,EPI_ISL_19750604,A/Great_Black-Backed_Gull/NL/OTH-0115-35/2024,2024.11.27,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750605|A/Great_Black-Backed_Gull/NL/OTH-0115-36/2024|H5N5|North America|2024-12-03|wild_avian|A6 ,EPI_ISL_19750605,A/Great_Black-Backed_Gull/NL/OTH-0115-36/2024,2024.12.03,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750614|A/Herring_Gull/NL/FAV-0042-7/2025|H5N5|North America|2024-12-11|wild_avian|A6 ,EPI_ISL_19750614,A/Herring_Gull/NL/FAV-0042-7/2025,2024.12.11,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750615|A/Herring_Gull/NL/FAV-0042-9/2025|H5N5|North America|2024-12-22|wild_avian|A6 ,EPI_ISL_19750615,A/Herring_Gull/NL/FAV-0042-9/2025,2024.12.22,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750613|A/Great_Black-Backed_Gull/NL/FAV-0042-10/2025|H5N5|North America|2025-01-12|wild_avian|A6 ,EPI_ISL_19750613,A/Great_Black-Backed_Gull/NL/FAV-0042-10/2025,2025.01.12,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / St. John's,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19260102|A/Great_Black-Backed_Gull/NL/FAV-0430-10/2023|H5N5|North America|2023-10-30|wild_avian|A6 ,EPI_ISL_19260102,A/Great_Black-Backed_Gull/NL/FAV-0430-10/2023,2023.10.30,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / Upper Gullies,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750618|A/Chicken/NL/FAV-0053-4/2025|H5N5|North America|2025-01-23|domestic_avian|A6 ,EPI_ISL_19750618,A/Chicken/NL/FAV-0053-4/2025,2025.01.23,H5N5,A6 ,North America / Canada / Newfoundland and Labrador / Wings Point,North America,Chicken,domestic_avian,
EPI_ISL_20067314|A/Bald_Eagle/NS/FAV-0157-3/2025|H5N5|North America|2025-04-14|wild_avian|A6 ,EPI_ISL_20067314,A/Bald_Eagle/NS/FAV-0157-3/2025,2025.04.14,H5N5,A6 ,North America / Canada / Nova Scotia / Bear River,North America,Bald_Eagle,wild_avian,Accipitriformes
EPI_ISL_18702962|A/Herring_Gull/NS/FAV-0231-1/2023|H5N5|North America|2023-06-02|wild_avian|A6 ,EPI_ISL_18702962,A/Herring_Gull/NS/FAV-0231-1/2023,2023.06.02,H5N5,A6 ,North America / Canada / Nova Scotia / Country Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750616|A/Great_Black-Backed_Gull/NS/FAV-0050-1/2025|H5N5|North America|2024-11-25|wild_avian|A6 ,EPI_ISL_19750616,A/Great_Black-Backed_Gull/NS/FAV-0050-1/2025,2024.11.25,H5N5,A6 ,North America / Canada / Nova Scotia / Eastern Passage,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_18702989|A/Red_Fox/NS/FAV-0265-1/2023|H5N5|North America|2023-05-09|nonhuman_mammal|A6 ,EPI_ISL_18702989,A/Red_Fox/NS/FAV-0265-1/2023,2023.05.09,H5N5,A6 ,North America / Canada / Nova Scotia / Fergusons Cove,North America,Red_Fox,nonhuman_mammal,
EPI_ISL_20067320|A/Red_Fox/NS/FAV-0171-1/2025|H5N5|North America|2025-05-04|nonhuman_mammal|A6 ,EPI_ISL_20067320,A/Red_Fox/NS/FAV-0171-1/2025,2025.05.04,H5N5,A6 ,North America / Canada / Nova Scotia / Grand Pr?,North America,Red_Fox,nonhuman_mammal,
EPI_ISL_18702964|A/Red_Fox/NS/FAV-0241-1/2023|H5N5|North America|2023-05-23|nonhuman_mammal|A6 ,EPI_ISL_18702964,A/Red_Fox/NS/FAV-0241-1/2023,2023.05.23,H5N5,A6 ,North America / Canada / Nova Scotia / Halifax,North America,Red_Fox,nonhuman_mammal,
EPI_ISL_19750617|A/Herring_Gull/NS/FAV-0050-2/2025|H5N5|North America|2024-11-12|wild_avian|A6 ,EPI_ISL_19750617,A/Herring_Gull/NS/FAV-0050-2/2025,2024.11.12,H5N5,A6 ,North America / Canada / Nova Scotia / Halifax,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19260112|A/Raccoon/NS/FAV-0079-1/2024|H5N5|North America|2024-02-02|nonhuman_mammal|A6 ,EPI_ISL_19260112,A/Raccoon/NS/FAV-0079-1/2024,2024.02.02,H5N5,A6 ,North America / Canada / Nova Scotia / Kentville,North America,Raccoon,nonhuman_mammal,
EPI_ISL_20067312|A/American_Crow/NS/FAV-0157-2/2025|H5N5|North America|2025-04-29|wild_avian|A6 ,EPI_ISL_20067312,A/American_Crow/NS/FAV-0157-2/2025,2025.04.29,H5N5,A6 ,North America / Canada / Nova Scotia / Kentville,North America,American_Crow,wild_avian,Passeriformes
EPI_ISL_19750591|A/Great_Black-Backed_Gull/NS/FAV-0393-1/2024|H5N5|North America|2024-11-08|wild_avian|A6 ,EPI_ISL_19750591,A/Great_Black-Backed_Gull/NS/FAV-0393-1/2024,2024.11.08,H5N5,A6 ,North America / Canada / Nova Scotia / Meteghan,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_20067298|A/Herring_Gull/NS/FAV-0124-7/2025|H5N5|North America|2025-03-11|wild_avian|A6 ,EPI_ISL_20067298,A/Herring_Gull/NS/FAV-0124-7/2025,2025.03.11,H5N5,A6 ,North America / Canada / Nova Scotia / Meteghan Centre,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_18702963|A/Common_Tern/NS/FAV-0234-1/2023|H5N5|North America|2023-06-09|wild_avian|A6 ,EPI_ISL_18702963,A/Common_Tern/NS/FAV-0234-1/2023,2023.06.09,H5N5,A6 ,North America / Canada / Nova Scotia / Middle West Pubnico,North America,Common_Tern,wild_avian,Charadriiformes
EPI_ISL_19260099|A/Great_Black-Backed_Gull/NS/FAV-0405-1/2023|H5N5|North America|2023-11-20|wild_avian|A6 ,EPI_ISL_19260099,A/Great_Black-Backed_Gull/NS/FAV-0405-1/2023,2023.11.20,H5N5,A6 ,North America / Canada / Nova Scotia / Port Caledonia,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19260100|A/Great_Black-Backed_Gull/NS/FAV-0405-2/2023|H5N5|North America|2023-11-20|wild_avian|A6 ,EPI_ISL_19260100,A/Great_Black-Backed_Gull/NS/FAV-0405-2/2023,2023.11.20,H5N5,A6 ,North America / Canada / Nova Scotia / Port Caledonia,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19260101|A/Great_Black-Backed_Gull/NS/FAV-0405-3/2023|H5N5|North America|2023-11-20|wild_avian|A6 ,EPI_ISL_19260101,A/Great_Black-Backed_Gull/NS/FAV-0405-3/2023,2023.11.20,H5N5,A6 ,North America / Canada / Nova Scotia / Port Caledonia,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_20067303|A/American_Crow/NS/FAV-0132-1/2025|H5N5|North America|2025-03-13|wild_avian|A6 ,EPI_ISL_20067303,A/American_Crow/NS/FAV-0132-1/2025,2025.03.13,H5N5,A6 ,North America / Canada / Nova Scotia / Port Williams,North America,American_Crow,wild_avian,Passeriformes
EPI_ISL_20067305|A/American_Crow/NS/FAV-0132-2/2025|H5N5|North America|2025-03-13|wild_avian|A6 ,EPI_ISL_20067305,A/American_Crow/NS/FAV-0132-2/2025,2025.03.13,H5N5,A6 ,North America / Canada / Nova Scotia / Port Williams,North America,American_Crow,wild_avian,Passeriformes
EPI_ISL_18702975|A/Northern_Fulmar/NS/FAV-0264-1/2023|H5N5|North America|2023-02-16|wild_avian|A6 ,EPI_ISL_18702975,A/Northern_Fulmar/NS/FAV-0264-1/2023,2023.02.16,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702982|A/Northern_Fulmar/NS/FAV-0264-3/2023|H5N5|North America|2023-02-16|wild_avian|A6 ,EPI_ISL_18702982,A/Northern_Fulmar/NS/FAV-0264-3/2023,2023.02.16,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702983|A/Northern_Fulmar/NS/FAV-0264-4/2023|H5N5|North America|2023-02-16|wild_avian|A6 ,EPI_ISL_18702983,A/Northern_Fulmar/NS/FAV-0264-4/2023,2023.02.16,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702984|A/Northern_Fulmar/NS/FAV-0264-5/2023|H5N5|North America|2023-02-16|wild_avian|A6 ,EPI_ISL_18702984,A/Northern_Fulmar/NS/FAV-0264-5/2023,2023.02.16,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702985|A/Northern_Fulmar/NS/FAV-0264-6/2023|H5N5|North America|2023-03-02|wild_avian|A6 ,EPI_ISL_18702985,A/Northern_Fulmar/NS/FAV-0264-6/2023,2023.03.02,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702986|A/Northern_Fulmar/NS/FAV-0264-7/2023|H5N5|North America|2023-03-02|wild_avian|A6 ,EPI_ISL_18702986,A/Northern_Fulmar/NS/FAV-0264-7/2023,2023.03.02,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702977|A/Black-Legged_Kittiwake/NS/FAV-0264-11/2023|H5N5|North America|2023-03-21|wild_avian|A6 ,EPI_ISL_18702977,A/Black-Legged_Kittiwake/NS/FAV-0264-11/2023,2023.03.21,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Black-Legged_Kittiwake,wild_avian,Charadriiformes
EPI_ISL_18702987|A/Northern_Fulmar/NS/FAV-0264-8/2023|H5N5|North America|2023-03-21|wild_avian|A6 ,EPI_ISL_18702987,A/Northern_Fulmar/NS/FAV-0264-8/2023,2023.03.21,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702988|A/Northern_Fulmar/NS/FAV-0264-9/2023|H5N5|North America|2023-03-21|wild_avian|A6 ,EPI_ISL_18702988,A/Northern_Fulmar/NS/FAV-0264-9/2023,2023.03.21,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702976|A/Northern_Fulmar/NS/FAV-0264-10/2023|H5N5|North America|2023-03-28|wild_avian|A6 ,EPI_ISL_18702976,A/Northern_Fulmar/NS/FAV-0264-10/2023,2023.03.28,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702978|A/Northern_Fulmar/NS/FAV-0264-12/2023|H5N5|North America|2023-04-08|wild_avian|A6 ,EPI_ISL_18702978,A/Northern_Fulmar/NS/FAV-0264-12/2023,2023.04.08,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702971|A/Herring_Gull/NS/FAV-0263-6/2023|H5N5|North America|2023-04-13|wild_avian|A6 ,EPI_ISL_18702971,A/Herring_Gull/NS/FAV-0263-6/2023,2023.04.13,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_18702968|A/Great_Black-Backed_Gull/NS/FAV-0263-3/2023|H5N5|North America|2023-04-14|wild_avian|A6 ,EPI_ISL_18702968,A/Great_Black-Backed_Gull/NS/FAV-0263-3/2023,2023.04.14,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_18702969|A/Great_Black-Backed_Gull/NS/FAV-0263-4/2023|H5N5|North America|2023-04-14|wild_avian|A6 ,EPI_ISL_18702969,A/Great_Black-Backed_Gull/NS/FAV-0263-4/2023,2023.04.14,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_18702970|A/Great_Black-Backed_Gull/NS/FAV-0263-5/2023|H5N5|North America|2023-04-14|wild_avian|A6 ,EPI_ISL_18702970,A/Great_Black-Backed_Gull/NS/FAV-0263-5/2023,2023.04.14,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_18702979|A/Northern_Fulmar/NS/FAV-0264-13/2023|H5N5|North America|2023-04-29|wild_avian|A6 ,EPI_ISL_18702979,A/Northern_Fulmar/NS/FAV-0264-13/2023,2023.04.29,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702981|A/Great_Black-Backed_Gull/NS/FAV-0264-15/2023|H5N5|North America|2023-04-30|wild_avian|A6 ,EPI_ISL_18702981,A/Great_Black-Backed_Gull/NS/FAV-0264-15/2023,2023.04.30,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_18702990|A/Northern_Fulmar/NS/FAV-0406-2/2023|H5N5|North America|2023-05-15|wild_avian|A6 ,EPI_ISL_18702990,A/Northern_Fulmar/NS/FAV-0406-2/2023,2023.05.15,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702991|A/Northern_Fulmar/NS/FAV-0406-3/2023|H5N5|North America|2023-05-15|wild_avian|A6 ,EPI_ISL_18702991,A/Northern_Fulmar/NS/FAV-0406-3/2023,2023.05.15,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18702992|A/Herring_Gull/NS/FAV-0406-4/2023|H5N5|North America|2023-05-16|wild_avian|A6 ,EPI_ISL_18702992,A/Herring_Gull/NS/FAV-0406-4/2023,2023.05.16,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750580|A/Great_Black-Backed_Gull/NS/FAV-0245-2/2024|H5N5|North America|2024-04-03|wild_avian|A6 ,EPI_ISL_19750580,A/Great_Black-Backed_Gull/NS/FAV-0245-2/2024,2024.04.03,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750581|A/Herring_Gull/NS/FAV-0245-3/2024|H5N5|North America|2024-04-03|wild_avian|A6 ,EPI_ISL_19750581,A/Herring_Gull/NS/FAV-0245-3/2024,2024.04.03,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750582|A/Herring_Gull/NS/FAV-0245-4/2024|H5N5|North America|2024-04-05|wild_avian|A6 ,EPI_ISL_19750582,A/Herring_Gull/NS/FAV-0245-4/2024,2024.04.05,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750584|A/Great_Black-Backed_Gull/NS/FAV-0245-6/2024|H5N5|North America|2024-04-09|wild_avian|A6 ,EPI_ISL_19750584,A/Great_Black-Backed_Gull/NS/FAV-0245-6/2024,2024.04.09,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750583|A/Iceland_Gull/NS/FAV-0245-5/2024|H5N5|North America|2024-04-09|wild_avian|A6 ,EPI_ISL_19750583,A/Iceland_Gull/NS/FAV-0245-5/2024,2024.04.09,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Iceland_Gull,wild_avian,Charadriiformes
EPI_ISL_19750585|A/Great_Black-Backed_Gull/NS/FAV-0245-7/2024|H5N5|North America|2024-04-21|wild_avian|A6 ,EPI_ISL_19750585,A/Great_Black-Backed_Gull/NS/FAV-0245-7/2024,2024.04.21,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750577|A/Herring_Gull/NS/FAV-0243-1/2024|H5N5|North America|2024-04-26|wild_avian|A6 ,EPI_ISL_19750577,A/Herring_Gull/NS/FAV-0243-1/2024,2024.04.26,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750578|A/Great_Black-Backed_Gull/NS/FAV-0243-2/2024|H5N5|North America|2024-05-01|wild_avian|A6 ,EPI_ISL_19750578,A/Great_Black-Backed_Gull/NS/FAV-0243-2/2024,2024.05.01,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750579|A/Great_Black-Backed_Gull/NS/FAV-0243-3/2024|H5N5|North America|2024-05-01|wild_avian|A6 ,EPI_ISL_19750579,A/Great_Black-Backed_Gull/NS/FAV-0243-3/2024,2024.05.01,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750588|A/Great_Black-Backed_Gull/NS/FAV-0380-1/2024|H5N5|North America|2024-10-10|wild_avian|A6 ,EPI_ISL_19750588,A/Great_Black-Backed_Gull/NS/FAV-0380-1/2024,2024.10.10,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750589|A/Great_Black-Backed_Gull/NS/FAV-0380-2/2024|H5N5|North America|2024-10-13|wild_avian|A6 ,EPI_ISL_19750589,A/Great_Black-Backed_Gull/NS/FAV-0380-2/2024,2024.10.13,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750590|A/Herring_Gull/NS/FAV-0380-3/2024|H5N5|North America|2024-10-14|wild_avian|A6 ,EPI_ISL_19750590,A/Herring_Gull/NS/FAV-0380-3/2024,2024.10.14,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_20067343|A/Herring_Gull/NS/FAV-0188-1/2025|H5N5|North America|2024-10-31|wild_avian|A6 ,EPI_ISL_20067343,A/Herring_Gull/NS/FAV-0188-1/2025,2024.10.31,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_20067350|A/Great_Black-Backed_Gull/NS/FAV-0188-2/2025|H5N5|North America|2024-11-01|wild_avian|A6 ,EPI_ISL_20067350,A/Great_Black-Backed_Gull/NS/FAV-0188-2/2025,2024.11.01,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_20067351|A/Great_Black-Backed_Gull/NS/FAV-0188-3/2025|H5N5|North America|2024-11-01|wild_avian|A6 ,EPI_ISL_20067351,A/Great_Black-Backed_Gull/NS/FAV-0188-3/2025,2024.11.01,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750607|A/Great_Black-Backed_Gull/NS/FAV-0026-2/2025|H5N5|North America|2024-12-10|wild_avian|A6 ,EPI_ISL_19750607,A/Great_Black-Backed_Gull/NS/FAV-0026-2/2025,2024.12.10,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750609|A/Great_Black-Backed_Gull/NS/FAV-0026-4/2025|H5N5|North America|2024-12-10|wild_avian|A6 ,EPI_ISL_19750609,A/Great_Black-Backed_Gull/NS/FAV-0026-4/2025,2024.12.10,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750610|A/Great_Black-Backed_Gull/NS/FAV-0026-5/2025|H5N5|North America|2024-12-10|wild_avian|A6 ,EPI_ISL_19750610,A/Great_Black-Backed_Gull/NS/FAV-0026-5/2025,2024.12.10,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750611|A/Great_Black-Backed_Gull/NS/FAV-0026-6/2025|H5N5|North America|2024-12-10|wild_avian|A6 ,EPI_ISL_19750611,A/Great_Black-Backed_Gull/NS/FAV-0026-6/2025,2024.12.10,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_19750606|A/Herring_Gull/NS/FAV-0026-1/2025|H5N5|North America|2024-12-10|wild_avian|A6 ,EPI_ISL_19750606,A/Herring_Gull/NS/FAV-0026-1/2025,2024.12.10,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750612|A/Herring_Gull/NS/FAV-0026-7/2025|H5N5|North America|2024-12-10|wild_avian|A6 ,EPI_ISL_19750612,A/Herring_Gull/NS/FAV-0026-7/2025,2024.12.10,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19750608|A/Iceland_Gull/NS/FAV-0026-3/2025|H5N5|North America|2024-12-10|wild_avian|A6 ,EPI_ISL_19750608,A/Iceland_Gull/NS/FAV-0026-3/2025,2024.12.10,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Iceland_Gull,wild_avian,Charadriiformes
EPI_ISL_20067322|A/Great_Black-Backed_Gull/NS/FAV-0186-1/2025|H5N5|North America|2025-04-25|wild_avian|A6 ,EPI_ISL_20067322,A/Great_Black-Backed_Gull/NS/FAV-0186-1/2025,2025.04.25,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_20067347|A/Great_Black-Backed_Gull/NS/FAV-0188-11/2025|H5N5|North America|2025-04-25|wild_avian|A6 ,EPI_ISL_20067347,A/Great_Black-Backed_Gull/NS/FAV-0188-11/2025,2025.04.25,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_20067352|A/Great_Black-Backed_Gull/NS/FAV-0188-4/2025|H5N5|North America|2025-04-25|wild_avian|A6 ,EPI_ISL_20067352,A/Great_Black-Backed_Gull/NS/FAV-0188-4/2025,2025.04.25,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_20067353|A/Great_Black-Backed_Gull/NS/FAV-0188-5/2025|H5N5|North America|2025-04-25|wild_avian|A6 ,EPI_ISL_20067353,A/Great_Black-Backed_Gull/NS/FAV-0188-5/2025,2025.04.25,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
EPI_ISL_20067354|A/Great_Black-Backed_Gull/NS/FAV-0188-6/2025|H5N5|North America|2025-04-25|wild_avian|A6 ,EPI_ISL_20067354,A/Great_Black-Backed_Gull/NS/FAV-0188-6/2025,2025.04.25,H5N5,A6 ,North America / Canada / Nova Scotia / Sable Island,North America,Great_Black-Backed_Gull,wild_avian,Charadriiformes
